start_date,beneficiary,source,contract_id,minerID,volume_MWh,attestation_id,defaulted,step4_ZL_contract_complete,step5_redemption_data_complete,step6_attestation_info_complete,step7_certificates_matched_to_supply,step8_IPLDrecord_complete,step9_transaction_complete,step10_volta_complete,step11_finalRecord_complete
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 42 - Filecoin MinerID: f08242,Longli Jia Tuo Mountain Windfarm,,,3,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 43 - Filecoin MinerID: f09002,Longli Jia Tuo Mountain Windfarm,,,441,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 44 - Filecoin MinerID: f09620,Longli Jia Tuo Mountain Windfarm,,,119,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 45 - Filecoin MinerID: f09693,Longli Jia Tuo Mountain Windfarm,,,134,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 46 - Filecoin MinerID: f010399,Longli Jia Tuo Mountain Windfarm,,,30,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 47 - Filecoin MinerID: f010400,Longli Jia Tuo Mountain Windfarm,,,465,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 48 - Filecoin MinerID: f010507,Longli Jia Tuo Mountain Windfarm,,,13,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 49 - Filecoin MinerID: f010528,Longli Jia Tuo Mountain Windfarm,,,11,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 50 - Filecoin MinerID: f014251,Longli Jia Tuo Mountain Windfarm,,,276,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 51 - Filecoin MinerID: f014394,Longli Jia Tuo Mountain Windfarm,,,2,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 52 - Filecoin MinerID: f014522,Longli Jia Tuo Mountain Windfarm,,,38,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 53 - Filecoin MinerID: f014569,Longli Jia Tuo Mountain Windfarm,,,155,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 54 - Filecoin MinerID: f015233,Longli Jia Tuo Mountain Windfarm,,,92,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 55 - Filecoin MinerID: f015685,Longli Jia Tuo Mountain Windfarm,,,1,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 56 - Filecoin MinerID: f015897,Longli Jia Tuo Mountain Windfarm,,,43,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 57 - Filecoin MinerID: f016276,Longli Jia Tuo Mountain Windfarm,,,1,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 58 - Filecoin MinerID: f017665,Longli Jia Tuo Mountain Windfarm,,,127,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 59 - Filecoin MinerID: f019002,Longli Jia Tuo Mountain Windfarm,,,717,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 60 - Filecoin MinerID: f019240,Longli Jia Tuo Mountain Windfarm,,,51,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 61 - Filecoin MinerID: f019362,Longli Jia Tuo Mountain Windfarm,,,14,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 62 - Filecoin MinerID: f019638,Longli Jia Tuo Mountain Windfarm,,,2,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 63 - Filecoin MinerID: f020331,Longli Jia Tuo Mountain Windfarm,,,544,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 64 - Filecoin MinerID: f020398,Longli Jia Tuo Mountain Windfarm,,,1,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 65 - Filecoin MinerID: f020436,Longli Jia Tuo Mountain Windfarm,,,1,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 66 - Filecoin MinerID: f020523,Longli Jia Tuo Mountain Windfarm,,,2,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 67 - Filecoin MinerID: f020742,Longli Jia Tuo Mountain Windfarm,,,277,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 68 - Filecoin MinerID: f021444,Longli Jia Tuo Mountain Windfarm,,,2,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 69 - Filecoin MinerID: f021525,Longli Jia Tuo Mountain Windfarm,,,909,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 70 - Filecoin MinerID: f021532,Longli Jia Tuo Mountain Windfarm,,,72,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 71 - Filecoin MinerID: f021961,Longli Jia Tuo Mountain Windfarm,,,461,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 72 - Filecoin MinerID: f022111,Longli Jia Tuo Mountain Windfarm,,,65,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 73 - Filecoin MinerID: f022227,Longli Jia Tuo Mountain Windfarm,,,41,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 74 - Filecoin MinerID: f022289,Longli Jia Tuo Mountain Windfarm,,,53,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 75 - Filecoin MinerID: f022308,Longli Jia Tuo Mountain Windfarm,,,35,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 76 - Filecoin MinerID: f022399,Longli Jia Tuo Mountain Windfarm,,,17,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 77 - Filecoin MinerID: f022566,Longli Jia Tuo Mountain Windfarm,,,13,,0,0,0,0,0,0,0,0,0
