"certificate","volume_MWh","order_folder","contract","minerID","contract_country","certificate_country","country_match","contract_region","certificate_region","region_match","contract_start","certificate_start","start_match","contract_end","certificate_end","end_match","cert_within_contract","country_region_and_certWithinContract"
"20220429_SP_delivery_105_certificate_105",4,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023983","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_106_certificate_106",4,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023984","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_107_certificate_107",5,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f023985","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_108_certificate_108",97,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f024006","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_109_certificate_109",95,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f024007","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_110_certificate_110",81,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f024008","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_111_certificate_111",47,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f024012","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_112_certificate_112",55,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f024013","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_113_certificate_113",69,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f024066","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_114_certificate_114",59,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f024081","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_115_certificate_115",66,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f024084","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_116_certificate_116",45,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f024136","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_117_certificate_117",46,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f024146","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_118_certificate_118",47,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f024147","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
