"transaction","contract_id","reportingStart","reportingEnd","country","region","contract_volume_MWh","allocation_id","minerID","miner locations","allocation_volume_MWh","energy_use"
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_60","2021-07-01","2021-07-31","US","WECC",15,"20211115_3D_PL_transaction_1_allocation_60","f01051828","",15,13.71492026128512
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_61","2021-08-01","2021-08-31","US","WECC",3,"20211115_3D_PL_transaction_1_allocation_61","f01051828","",3,2.284319744750592
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_62","2021-04-01","2021-04-30","BE",,15,"20211115_3D_PL_transaction_1_allocation_62","f01234","",15,5.719082733736992
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_63","2021-05-01","2021-05-31","BE",,26,"20211115_3D_PL_transaction_1_allocation_63","f01234","",26,25.293874344716542
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_64","2021-06-01","2021-06-30","BE",,18,"20211115_3D_PL_transaction_1_allocation_64","f01234","",18,6.473317864451328
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_65","2021-01-01","2021-12-31","AU",,2,"20211115_3D_PL_transaction_1_allocation_65","f014365","",2,1.9009394411651281
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_66","2020-07-01","2021-03-31","BE",,2,"20211115_3D_PL_transaction_1_allocation_66","f01234","",2,33.15705638192919
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_67","2020-07-01","2021-03-31","BE",,1,"20211115_3D_PL_transaction_1_allocation_67","f01234","",1,33.15705638192919
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_68","2020-07-01","2021-03-31","BE",,1,"20211115_3D_PL_transaction_1_allocation_68","f01234","",1,33.15705638192919
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_69","2020-07-01","2021-03-31","BE",,1,"20211115_3D_PL_transaction_1_allocation_69","f01234","",1,33.15705638192919
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_70","2020-07-01","2021-03-31","US","WECC",45,"20211115_3D_PL_transaction_1_allocation_70","f066596","",45,154.62226004303582
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_71","2021-02-01","2021-02-28","US","WECC",19,"20211115_3D_PL_transaction_1_allocation_71","f066596","",19,19.57958523001949
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_72","2021-06-01","2021-06-30","US","WECC",13,"20211115_3D_PL_transaction_1_allocation_72","f0678914","",13,4.957586137351104
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_73","2021-08-01","2021-08-31","US","WECC",3,"20211115_3D_PL_transaction_1_allocation_73","f0678914","",3,1.646345887958016
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_74","2021-07-01","2021-07-31","US","WECC",93,"20211115_3D_PL_transaction_1_allocation_74","f0763337","",93,11.646231381942984
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_75","2020-07-01","2021-03-31","US","NPCC",1,"20211115_3D_PL_transaction_1_allocation_75","f022142","",1,0.89590608973728
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_76","2020-07-01","2021-03-31","US","NPCC",1,"20211115_3D_PL_transaction_1_allocation_76","f022142","",1,0.89590608973728
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_77","2020-07-01","2021-03-31","US","NPCC",1,"20211115_3D_PL_transaction_1_allocation_77","f022142","",1,0.89590608973728
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_78","2021-06-01","2021-06-30","CN",,81,"20211115_3D_PL_transaction_1_allocation_78","f01051178","",81,58.768933049496766
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_79","2021-06-01","2021-06-30","US","WECC",9,"20211115_3D_PL_transaction_1_allocation_79","f01051828","",9,0.175092162200064
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_80","2021-08-01","2021-08-31","US","WECC",9,"20211115_3D_PL_transaction_1_allocation_80","f01175097","",9,0.35459321259571197
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_81","2021-01-01","2021-01-31","BE",,3,"20211115_3D_PL_transaction_1_allocation_81","f01234","",3,0.576464549068992
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_82","2021-02-01","2021-02-28","BE",,12,"20211115_3D_PL_transaction_1_allocation_82","f01234","",12,12.484873029627744
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_83","2021-03-01","2021-03-31","BE",,20,"20211115_3D_PL_transaction_1_allocation_83","f01234","",20,19.689675670202305
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_84","2021-04-01","2021-04-30","BE",,1,"20211115_3D_PL_transaction_1_allocation_84","f0720636","",1,0.000051565943808
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_85","2021-05-01","2021-05-31","BE",,24,"20211115_3D_PL_transaction_1_allocation_85","f0720636","",24,8.10665567053152
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_86","2021-06-01","2021-06-30","BE",,46,"20211115_3D_PL_transaction_1_allocation_86","f0720636","",46,23.93844085861229
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_87","2020-07-01","2021-03-31","DK",,4,"20211115_3D_PL_transaction_1_allocation_87","f02576","",4,12.016246842211872
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_88","2020-09-01","2020-09-30","US","RFC",1,"20211115_3D_PL_transaction_1_allocation_88","f01278","",1,0
"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_contract_89","2020-10-01","2020-10-31","US","RFC",1,"20211115_3D_PL_transaction_1_allocation_89","f01278","",1,0.038094340988159996
